Year,DoY,ACN 3,ACN 10,ACN 20,AHN 3,AHN 10,AHN 20,ECN 3,ECN 10,ECN 20
2009,66,-9999,879.7524147,1002.114723,594.701568,1020.744022,488.8522541,627.9567129,754.0172316,1051.136867
2009,67,-9999,871.0920413,989.0983108,588.3970039,969.9194875,431.3479912,620.3394684,742.0398689,1024.593942
2009,68,-9999,825.2550113,942.5814541,561.7901446,938.5276503,425.8260322,600.7921267,690.0181704,1003.457937
2009,69,-9999,773.3940953,855.236342,528.3582142,858.780536,330.5013598,582.9097919,629.410514,903.5228646
2009,70,-9999,731.5273594,824.0231715,522.8714991,837.4362566,285.1295815,583.3497037,622.1403656,860.1010608
2009,71,569.468553,727.3092062,830.5042286,552.5821039,856.817437,310.1529472,586.5843893,634.8722621,873.3468785
2009,72,570.5400812,742.7855676,853.5785646,573.4503263,884.655672,340.8920815,589.6459243,647.1830406,898.195689
2009,73,578.5583601,770.5140689,893.7008521,586.9259054,909.4028494,379.9146687,603.8816915,674.8681508,946.9145453
2009,74,565.9673395,788.1096006,921.7892688,579.3434529,922.58594,407.995189,601.1689185,676.9147526,988.2608159
2009,75,572.0441603,834.8780811,986.1792948,608.3199542,973.0579935,449.2364032,627.1072393,724.0348821,1057.589834
2009,76,580.342132,890.8857128,1055.49162,624.3331767,1017.985915,508.1892723,639.6304622,771.7867771,1148.892082
2009,77,597.0167487,907.6944981,1074.419097,625.0152963,1025.08804,527.4536453,649.1871163,792.289243,1176.777437
2009,78,610.2890912,927.5525655,1103.417648,631.2738992,1034.856757,541.1038835,660.1081165,813.5255383,1210.601146
2009,79,594.6770247,934.8690696,1115.65523,618.6950406,1037.303068,554.4237072,646.4199462,834.8432106,1231.464065
